area_id,area_name
MIIN,"Miller Rd & Indian School Rd"
MIMC,"Miller Rd & McDowell Rd"
MITH,"Miller Rd & Thomas Rd"
MIUN,"Mill Ave & University Dr"
ML11TH,"Eleventh St/Mill"
ML9TH,"Ninth St/Mill"
MMCT,"Maricopa Medical Center"
MNTC,"59th Ave & Hayward Ave"
MRCY,"Gilbert Mercy Hospital"
MRHG1,"Marina Heights/Rio Salado"
MUTC,"Mustang TC"
NO191,"Northern/19th Ave"
NO192,"Northern/19th Ave"
NTMC,"North Tempe Multi-Gen Center"
OLDP,"OLD TOWN PEORIA"
PARK,"Pecos Park"
PASAP,"Paseo Del Saber/Apache"
PCC,"Paiute Community Center"
PCPR,"40th St/Pecos PNR"
PE15,"15th Ave & Peoria Ave"
PECR,"PEORIA CROSSING"
PESC,"P83 & PEORIA SPORTS COMPLEX"
PESP,"PEORIA STATION PLAZA"
PHZO,"Phoenix Zoo"
PICP,"PIONEER PARK"
PIIB,"Pima Rd & Indian Bend Rd"
PIMC,"Pima Rd & McDowell Rd"
PITH,"Pima Park"
POBA,"Power Rd & Baseline Rd"
POMC,"Power Rd & McKellips Rd"
POMD,"Power Rd & McDowell Rd"
POPR,"Power Rd PNR"
PP23,"Pinnacle Peak Rd & 23rd Ave"
PPGC,"PEORIA PINES GOLF COURSE"
PRBA,"Priest Dr & Baseline Rd"
PRCA,"Priest Dr & Carmen St"
PREL,"Priest Dr & Elliot Rd"
PRSO,"Price Rd & Southern Ave"
PRUN,"Priest Dr & University Dr"
PRWA,"Priest Dr & Washington St"
PRWA1,"Priest Dr/Washington St"
PRWA2,"Priest Dr/Washington St"
PSSO,"Priest Dr & Southern Ave"
PVCC,"Paradise Valley CC"
PVMA,"Paradise Valley TC"
PVMP,"Palm Valley Blvd & McDowell Rd"
PWSC,"PARK WEST"
RA48,"48th St & Ray Rd"
RACO,"Cooper Rd & Ray Rd"
RAGI,"Gilbert Rd & Ray Rd"
RANS,"Raintree Dr & Northsight Blvd"
RASC,"Rancho Santa Fe Shopping Ctr"
RO19,"19th Ave & Roeser Rd"
RO7S,"Roosevelt St & 7th St"
ROGR,"Roosevelt St & Grand Ave"
RUAP,"Rural Rd & Apache Blvd"
RUBA,"Rural Rd & Baseline Rd"
RUCH,"Rural Rd & Chandler Blvd"
RUGU,"Rural Rd & Guadalupe Rd"
RURA,"Rural Rd & Ray Rd"
RURI,"Rural Rd & Rio Salado Pkwy"
RUSO,"Rural Rd & Southern Ave"
RUTY,"Rural Rd & Tyler St"
RUUN,"University Dr & Rural Rd"
RVCP,"RIO VISTA PARK"
RVMP,"Mesa Riverview"
RVMP1,"Mesa Riverview"
SAFE,"SAFEWAY PLAZA"
SCAP,"Scottsdale Airpark"
SCCA,"Scottsdale Rd & Camelback Rd"
SCCC,"Scottsdale CC"
SCCC1,"Scottsdale CC PNR"
SCCO,"Scottsdale Rd & Continental Dr"
SCFL,"Scottsdale Rd & FLWright Blvd"
SCHE,"Thompson Peak Medical Ctr"
SCIN,"Scottsdale Rd & Indian School Rd"
SCLI,"Scottsdale Rd & Lincoln Dr"
SCMC,"Scottsdale Rd & McDowell Rd"
SCMK,"Scottsdale Rd & McKellips Rd"
SCMY,"Scottsdale Rd & Mayo Blvd"
SCPR,"Scottsdale PNR"
SCRUAP,"Rural/Apache"
SCSH,"Scottsdale Rd & Shea Blvd"
SCTB,"Scottsdale Rd & Thunderbird Rd"
SCTH,"Scottsdale Rd & Thomas Rd"
SECE,"Mesa Active Adult Center"
SHVL,"Shea Blvd & Via Linda"
SKET,"Sky Harbor Executive Terminal"
SKT2,"Sky Harbor West"
SKT3,"Sky Harbor Terminal 3"
SKT4,"Sky Harbor Terminal 4"
SKT5,"Sky Train 24th St Station"
SKTR,"44th St Sky Train Station"
SKYEAS,"East Economy Station"
SKYRCC,"Sky Train Rental Car Center Station"
SLHS,"Sierra Linda High School"
SMCC,"South Mountain CC"
SMHS,"SUNRISE MOUNTAIN HIGH SCHOOL"
SO24,"24th St & Southern Ave"
SOCC,"Country Club Dr & Southern Ave"
SOCW,"Southern Ave & Country Club Way"
SODO,"Dobson Rd & Southern Ave"
SOEV,"Southern Ave & Evergreen St"
SOGR,"Greenfield Rd & Southern Ave"
SOLK,"Southshore Dr & Lakeshore Dr"
SOMI,"Southern Ave & Mill Ave"
SPMA,"Superstition Springs TC"
SPRU,"Spence Ave & Rural Rd"
SSPR,"Superstition Springs PNR"
STBD,"Stapley Dr & Broadway Rd"
STBR,"Stapley Dr & Brown Rd"
STMC,"Stapley Dr & McKellips Rd"
STSO,"Stapley Dr & Southern Ave"
STUN,"Stapley Dr & University Dr"
SUAI,"SUN AIR ESTATES"
SUCE,"Sunnyslope TC"
SUML,"SUNRISE MOUNTAIN LIBRARY"
SUPR,"Surprise PNR"
SUSP,"SUNNYSLOPE PARK"
SUVI,"Sunland Village East"
SWIFT,"Swift Trucking"
SYMA,"Sycamore/Main St TC"
SYMA1,"Main St & Sycamore"
TAMO,"Tatum Blvd & Mockingbird Ln"
TCFA,"Tempe Center for the Arts"
TELI,"Tempe Public Library"
TEMP,"Tempe Marketplace"
TERU,"Rural Rd & Terrace Rd"
TETC,"Tempe Transportation Center"
TMPE1,"Tempe Transit Facility"
TMSC,"Hardy Dr at Tempe Sports Complex"
TPLI,"Rural Rd at Tempe Library PNR"
TR73,"TERRAMAR BLVD & 73RD DR"
TREV,"75th Ave & Catalina Dr"
UHTA,"Union Hills Dr & Tatum Blvd"
UNCC,"University Dr & Country Club"
UNGI,"University Dr & Gilbert Rd"
UNGR,"University Dr & Greenfield Rd"
UNPO,"Power Rd & University Dr"
UNPR,"University Dr & Price Rd"
UNRU,"University/Rural TC"
UNRU1,"University Dr/Rural Rd"
UNRU2,"University Dr/Rural Rd"
UNSO,"University Dr & Sossaman Rd"
UNVA,"Val Vista Dr & University Dr"
VALU,"Banner Baywood Medical Center"
VAPE,"Val Vista Dr & Pecos Rd"
VB95,"Van Buren St & 95th Ave"
VB96,"Van Buren St & 96th Ave"
VBCE,"Van Buren St & Central Ave"
VBGP,"Galvin Pkwy & Van Buren St"
VLFL,"Via Linda & Frank Lloyd Wright Blvd"
VLLV,"Via Linda & Lakeview Dr"
VLSC,"Via Linda Senior Center"
VLYC,"VENTANA LAKES YACHT CLUB"
VQCA,"Vee Quiva Casino"
VSEM,"VISTANCIA SAFEWAY"
VSRC,"WESTBROOK VISTAS"
WA12,"Washington St & 12th St"
WA122,"12th St/Washington"
WA38,"38th St/Washington"
WA381,"38th St/Washington"
WA382,"38th St/Washington"
WACP1,"Center Pkwy/Washington"
WACP2,"Center Pkwy/Washington"
WBTH,"WESTBROOK & TRAILHEAD"
WECL,"Alma School Rd & Peralta Ave"
WFHI,"Williams Field Rd & Higley Rd"
WMPR,"West Mesa PNR"
WRRU,"Warner Rd & Rural Rd"
WWCC,"WESTWING COMMUNITY CENTER"
YUWA,"Yuma Rd & Watson Rd"
